pipedrive_webhook_id,name,event,destination_host,destination_url,is_active,added,last_delivery,last_http_status,bottom_line,recommendation,reason,risk_level,OWNER_DECISION,OWNER_NOTES
"655693","שינויים כמות משתתפים / מידע חשוב על הלקוח","*.*","hook.us1.make.com","https://hook.us1.make.com/lq3w7jit76j63cs6fm2xefgdtgnsd6n9/","active","2024-09-05","2026-08-01T09:52:10","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"661065","הוספת הערה במוצרים","*.*","hook.us1.make.com","https://hook.us1.make.com/u2hycv09966c3ym4ujzdl3vhyveayo9l/","active","2024-09-08","2026-07-31T07:05:12","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"661084","דילים ברכישה מהאתר בפייפ של מכירות גרפיטיול","*.*","hook.us1.make.com","https://hook.us1.make.com/u88fvsgtaqhk5qgdh9fpy8oalwc95vty/","active","2024-09-08","2026-07-30T10:40:39","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"660912","דיל הפך לוון > מייק לשליחת תוכן","*.*","hook.us1.make.com","https://hook.us1.make.com/p7agxxa1tqont84rumkfu3jgql6tuoix/","active","2024-09-08","2026-07-30T10:40:36","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"655702","שליחת וואצאפ חוגגים סגירות אחרי וון","*.*","hook.us1.make.com","https://hook.us1.make.com/wxj8mhklqrj4ljkepwvrieto4nknft5t/","active","2024-09-05","2026-07-30T10:40:36","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"655690","סגירת משימות אוטומטיות אחרי וון - MAKE.COM","*.*","hook.us1.make.com","https://hook.us1.make.com/xfevay47yhu868jq4emjp33j3jvkw1ud/","active","2024-09-05","2026-07-30T10:40:36","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"660916","דיל הפך ללוסט-שליחה לסמוב","*.*","hook.us1.make.com","https://hook.us1.make.com/xa6m9k4rj2mhsxi0og5tr2ifh3clogna/","active","2024-09-08","2026-07-30T08:24:23","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"485582","עדכון שעת סיור מהדיל","*.*","hook.us1.make.com","https://hook.us1.make.com/tf12u55xm2x5lh7vm7knamqz26txbnvh/","active","2024-06-17","2026-07-30T07:53:06","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"124382","","added.organization","hook.integromat.com","https://hook.integromat.com/g72cotwvj1wbwl6nznmgi2x54i3eofm5","active","2021-11-09","2026-07-30T07:23:34","200","When added.organization happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"661060","לקוח ביטל","*.*","hook.us1.make.com","https://hook.us1.make.com/fja194nxogav0yc26ercdyfqpemhqohk/","active","2024-09-08","2026-07-29T13:46:59","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"661068","הוצאת חשבונית עסקה לאחר סגירה","*.*","hook.us1.make.com","https://hook.us1.make.com/g1bx3ntjtq6cgylck6yn2fomxqp9rdvh/","active","2024-09-08","2026-07-29T08:01:02","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"504233","עדכון תנאי תשלום בדיל שמשוייך לארגון בפייפ עיסקי","*.*","hook.us1.make.com","https://hook.us1.make.com/tw49ttgk87fuw4480rl384hhx6eej254/","active","2024-07-07","2026-07-28T06:44:39","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"661092","לקוח עסקי - הזמנה מאושרת","*.*","hook.us1.make.com","https://hook.us1.make.com/1c5tx14rne01xzrigdz5t3xt4msdntmu/","active","2024-09-08","2026-07-28T06:40:48","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"655695","הצעת מחיר ללקוחות עסיקיים","*.*","hook.us1.make.com","https://hook.us1.make.com/cycsbjeyktnofk74nf45ua4biydetayt/","active","2024-09-05","2026-07-28T06:40:31","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"124383","","added.product","hook.us1.make.com","https://hook.us1.make.com/tibef8wlj3onrklnp0x1gsg793oqgsg5","active","2023-05-11","2026-07-22T07:25:02","200","When added.product happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"1548940","","added.product","hook.us1.make.com","https://hook.us1.make.com/7ml61x771mq6r4mk3yrsuo71mitpyy17","active","2025-12-10","2026-07-22T07:25:02","200","When added.product happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"1348796","שדה הערות עבור השכר","*.*","hook.us1.make.com","https://hook.us1.make.com/tzfhmfsw8495wl29vt13wuchxhb847v1/","active","2025-08-12","2026-07-08T14:32:37","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"1587962","שליחת תוכן 2 ימים לפני תזכורת לתשלום","*.*","hook.us1.make.com","https://hook.us1.make.com/vc2c8kuj6rv39ptcttf78tah6eu2y27h/","active","2026-02-09","2026-07-08T06:00:12","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"1592486","שליחת תוכן 5 ימים לפני תזכורת לתשלום","*.*","hook.us1.make.com","https://hook.us1.make.com/f9b9w06novpnlu6lopftkbplqid4ywf9/","active","2026-02-15","2026-06-26T06:00:09","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"800508","וון על דיל שמקושר לדילים נוספים","*.*","hook.us1.make.com","https://hook.us1.make.com/8kfaywoyjiby7nuyjr0os2xkwaf5yrxr/","active","2024-11-06","2026-06-16T08:30:58","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"1652407","דחייה ללא תאריך","*.*","hook.us1.make.com","https://hook.us1.make.com/0s8miqfeet4uw7iqafjuq3625cut70dg/","active","2026-04-28","2026-06-08T17:27:05","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"661096","פרטי בלבד - רדיפה לקבוע סיור","*.*","hook.us1.make.com","https://hook.us1.make.com/1t5ez2otu62atblw9z5cvxynb9s7rjf2/","active","2024-09-08","2026-06-08T17:23:23","200","When *.* happens in Pipedrive, this posts to a Make webhook.","KEEP TEMPORARILY","Delivers to Make. Retire only after the Make scenario behind it is retired, in the Part 10 order.","P2 — operational","",""
"124385","","added.user","hook.us1.make.com","https://hook.us1.make.com/dckflusnwnd32hkbhhi154aukizeavjp","active","2023-09-27","NEVER","","When added.user happens in Pipedrive, this posts to a Make webhook.","NEEDS MANUAL REVIEW","ACTIVE but has NEVER delivered (last_delivery_time is null). Strongest safe-to-remove candidate, but removal is a write.","P3 — legacy","",""
"660914","רדיפה לקבוע סיור","*.*","hook.us1.make.com","https://hook.us1.make.com/1t5ez2otu62atblw9z5cvxynb9s7rjf2/","active","2024-09-08","NEVER","","When *.* happens in Pipedrive, this posts to a Make webhook.","NEEDS MANUAL REVIEW","ACTIVE but has NEVER delivered (last_delivery_time is null). Strongest safe-to-remove candidate, but removal is a write.","P3 — legacy","",""
"660915","יצירת לינק לצ'אט בווסנג'ר כפתור בפייפ","*.*","hook.us1.make.com","https://hook.us1.make.com/d48lucs6t4a3k54yuixr3j8rvej52tbd/","active","2024-09-08","NEVER","","When *.* happens in Pipedrive, this posts to a Make webhook.","NEEDS MANUAL REVIEW","ACTIVE but has NEVER delivered (last_delivery_time is null). Strongest safe-to-remove candidate, but removal is a write.","P3 — legacy","",""
"660918","שינוי שלב בפייפ סימון בדיל שולם עובר לאיירטייבל","*.*","hook.us1.make.com","https://hook.us1.make.com/p3z6x7qhga8ggjh0s8i89omab38ty4dm/","active","2024-09-08","NEVER","","When *.* happens in Pipedrive, this posts to a Make webhook.","NEEDS MANUAL REVIEW","ACTIVE but has NEVER delivered (last_delivery_time is null). Strongest safe-to-remove candidate, but removal is a write.","P3 — legacy","",""
"661063","נסגר לבקשת אלינוי - 14.2.24 -אקטיביטי לשיבוץ מדריך","*.*","hook.us1.make.com","https://hook.us1.make.com/e16fwqygfr8kv5btc9yh13e9g4vk4ojw/","active","2024-09-08","NEVER","","When *.* happens in Pipedrive, this posts to a Make webhook.","NEEDS MANUAL REVIEW","ACTIVE but has NEVER delivered (last_delivery_time is null). Strongest safe-to-remove candidate, but removal is a write.","P3 — legacy","",""
"661090","קבוצתי בלבד - רדיפה לקבוע סיור","*.*","hook.us1.make.com","https://hook.us1.make.com/1t5ez2otu62atblw9z5cvxynb9s7rjf2/","active","2024-09-08","NEVER","","When *.* happens in Pipedrive, this posts to a Make webhook.","NEEDS MANUAL REVIEW","ACTIVE but has NEVER delivered (last_delivery_time is null). Strongest safe-to-remove candidate, but removal is a write.","P3 — legacy","",""
"661093","לקוח עסקי - להכניס לגאנט","*.*","hook.us1.make.com","https://hook.us1.make.com/1c5tx14rne01xzrigdz5t3xt4msdntmu/","active","2024-09-08","NEVER","","When *.* happens in Pipedrive, this posts to a Make webhook.","NEEDS MANUAL REVIEW","ACTIVE but has NEVER delivered (last_delivery_time is null). Strongest safe-to-remove candidate, but removal is a write.","P3 — legacy","",""
"1085997","נוצר פתק ידני (לא על ידי אוטומציה)","*.*","hook.us1.make.com","https://hook.us1.make.com/2pjrkqce2ytsuefzq9x7sqjmtd5nemb4/","active","2025-04-14","NEVER","","When *.* happens in Pipedrive, this posts to a Make webhook.","NEEDS MANUAL REVIEW","ACTIVE but has NEVER delivered (last_delivery_time is null). Strongest safe-to-remove candidate, but removal is a write.","P3 — legacy","",""
